Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
赤松　真人,Carp,2700,外野手,14,182,70,O型,右,右,京都,1982-09-06,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
飯田　哲矢,Carp,800,投手,4,182,80,A型,左,左,神奈川,1991-03-28,39,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09,0,0,0,0,0,50,11,12,1,5,0,14,5,5,1.55,2.85,C
磯村　嘉孝,Carp,850,捕手,8,178,89,A型,右,右,愛知,1992-11-01,40,0.242,30,70,62,15,1,4,0,2,1,7,5,4,0.277,0.306,0.583,1.97,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
藤井　皓哉,Carp,600,投手,4,181,86,AB型,右,左,岡山,1996-07-29,41,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1,0,0,0,1,37,8,10,1,4,0,10,4,4,1.75,3.37,C
ジョンソン,Carp,34500,投手,4,193,93,不明,左,左,アメリカ,1984-10-14,42,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09,9,2,0,0,0.818,463,110.2,100,6,38,5,86,40,38,1.25,3.33,C
土生　翔平,Carp,550,外野手,7,180,87,O型,右,左,広島,1989-08-16,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
松山　竜平,Carp,6500,外野手,11,176,96,B型,右,左,鹿児島,1985-09-18,44,0.315,96,365,324,102,11,62,0,37,1,35,0,10,0.384,0.485,0.868,6.68,6.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
桒原　樹,Carp,500,内野手,4,180,80,O型,右,左,静岡,1996-07-04,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
高橋　樹也,Carp,700,投手,3,176,81,A型,左,左,岩手,1997-06-21,46,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,1,0,39,9,10,1,1,0,9,4,3,1.22,2.56,C
山口　翔,Carp,600,投手,1,181,75,B型,右,右,熊本,1999-04-28,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
