Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
飛雄馬,DeNA,750,内野手,7,181,88,B型,右,右,大阪,1991-03-17,40,0.143,4,8,7,1,0,0,0,1,0,3,0,0,0.25,0.143,0.393,-0.53,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
櫻井　周斗,DeNA,550,投手,1,178,80,A型,左,左,埼玉,1999-06-25,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
バリオス,DeNA,2e3,投手,7,185,85,不明,右,右,ベネズエラ,1988-10-11,42,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61,2,4,0,0,0.333,205,47.1,49,1,12,2,35,22,19,1.29,2.8,C
進藤　拓也,DeNA,850,投手,2,186,90,O型,右,右,秋田,1992-07-16,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
佐野　恵太,DeNA,700,内野手,2,178,84,A型,右,左,岡山,1994-11-28,44,0.237,56,100,97,23,5,13,1,2,0,20,0,1,0.25,0.433,0.683,3.78,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
綾部　翔,DeNA,570,投手,3,189,90,O型,右,右,茨城,1997-04-25,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
田中　健二朗,DeNA,6100,投手,11,179,75,B型,左,左,愛知,1989-09-18,46,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09,1,1,0,0,0.5,47,11.2,12,0,3,0,14,4,4,1.29,1.23,C
砂田　毅樹,DeNA,4200,投手,5,179,78,B型,左,左,北海道,1995-07-20,47,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07,0,1,0,18,0,179,41,32,1,21,3,34,15,14,1.29,3.17,C
京山　将弥,DeNA,560,投手,2,182,75,B型,右,右,滋賀,1998-07-04,48,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96,5,4,0,0,0.556,208,45.1,50,8,29,1,32,30,30,1.74,5.99,C
赤間　謙,DeNA,1150,投手,3,180,80,AB型,右,右,福島,1990-11-14,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
山本　祐大,DeNA,500,捕手,1,180,78,A型,右,右,大阪,1998-09-11,50,1,2,1,1,1,1,2,0,0,0,0,0,0,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
宮﨑　敏郎,DeNA,8e3,内野手,6,172,85,B型,右,右,佐賀,1988-12-12,51,0.321,111,458,433,139,22,57,0,25,0,36,0,13,0.358,0.545,0.903,6.84,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
細川　成也,DeNA,540,外野手,2,179,86,AB型,右,右,神奈川,1998-08-04,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
パットン,DeNA,13e3,投手,2,185,91,不明,右,右,アメリカ,1988-02-20,53,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84,3,0,0,24,1,164,38,39,1,13,1,50,12,12,1.37,1.7,C
寺田　光輝,DeNA,600,投手,1,175,73,B型,右,右,三重,1992-01-05,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
Ｇ　後藤　武敏,DeNA,1890,内野手,16,176,84,A型,右,右,静岡,1980-06-05,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
ウィーランド,DeNA,13e3,投手,2,188,93,不明,右,右,アメリカ,1990-01-21,56,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.18,4,9,0,0,0.308,374,83.1,99,15,28,5,73,56,48,1.52,4.82,C
青柳　昴樹,DeNA,530,外野手,3,182,84,A型,右,右,大阪,1997-05-19,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
武藤　祐太,DeNA,930,投手,8,178,85,O型,右,右,埼玉,1989-06-14,58,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.46,0,0,0,4,0,101,23.2,20,4,12,2,15,17,17,1.35,5.7,C
平良　拳太郎,DeNA,750,投手,5,180,76,O型,右,右,沖縄,1995-07-12,59,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,2,2,0,0,0.5,156,35.1,37,4,20,0,23,18,15,1.61,4.82,C
白根　尚貴,DeNA,540,外野手,7,186,90,A型,右,右,島根,1993-04-28,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
中川　大志,DeNA,960,内野手,10,186,95,A型,右,右,愛知,1990-06-08,61,0.236,45,60,55,13,2,7,0,5,0,19,0,3,0.3,0.418,0.718,3.59,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
エスコバー,DeNA,5500,投手,2,188,102,不明,左,左,ベネズエラ,1992-04-22,62,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,2,2,0,10,0.5,184,43,40,4,18,2,44,19,17,1.35,3.47,C
関根　大気,DeNA,1570,外野手,5,173,75,A型,左,左,愛知,1995-06-28,63,0.316,16,20,19,6,0,3,1,0,0,5,1,0,0.316,0.526,0.842,4.25,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
百瀬　大騎,DeNA,540,内野手,4,175,70,A型,右,左,長野,1997-03-11,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
国吉　佑樹,DeNA,1700,投手,9,196,103,A型,右,右,大阪,1991-09-24,65,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23,0,0,0,1,0,61,13,15,2,8,0,13,9,9,1.77,4.97,C
西森　将司,DeNA,610,捕手,7,182,80,A型,右,両,京都,1987-12-29,66,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-2.7,-2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
田中　浩康,DeNA,2200,内野手,14,177,77,O型,右,右,京都,1982-05-24,67,0.205,24,43,39,8,0,3,0,2,1,4,1,3,0.262,0.231,0.493,1,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
藤岡　好明,DeNA,1050,投手,13,177,81,O型,右,左,大阪,1985-03-12,68,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,1,0,0,0,1,42,10,8,1,3,2,5,3,3,1.1,4.92,C
中後　悠平,DeNA,500,投手,5,183,72,O型,左,左,大阪,1989-09-17,91,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,0,0,0,0,0,23,5,5,0,4,0,2,2,2,1.8,4.72,C
田村　丈,DeNA,360,投手,3,185,86,O型,右,右,兵庫,1992-11-20,92,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,0,0,0,6,1,3,0,0,0,0,2,2,3,3.12,C
笠井　崇正,DeNA,360,投手,2,179,93,B型,右,右,北海道,1994-08-07,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
野川　拓斗,DeNA,700,投手,3,170,78,B型,左,左,埼玉,1991-09-06,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
ソト,DeNA,3500,内野手,1,185,97,不明,右,右,プエルトリコ,1989-02-28,99,0.297,75,324,303,90,25,60,0,11,7,72,0,2,0.333,0.581,0.914,7.04,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
網谷　圭将,DeNA,360,内野手,3,184,84,O型,右,右,千葉,1997-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
武白志,DeNA,360,内野手,3,188,95,A型,右,右,神奈川,1998-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
亀井　塔生,DeNA,360,捕手,4,180,75,O型,右,右,京都,1997-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
中川　虎大,DeNA,360,投手,1,178,79,B型,右,右,和歌山,1999-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
水野　滉也,DeNA,1200,投手,2,175,74,O型,右,右,北海道,1994-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
吉川　尚輝,Giants,1300,内野手,2,177,79,A型,右,左,岐阜,1995-02-08,0,0.253,92,355,316,80,4,29,11,19,5,61,13,5,0.304,0.361,0.665,3.71,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
寺内　崇幸,Giants,3200,内野手,12,177,73,B型,右,右,栃木,1983-05-27,00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
比嘉　賢伸,Giants,250,内野手,1,180,82,A型,右,左,大阪,2000-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
陽　岱鋼,Giants,3e4,外野手,13,183,89,A型,右,右,台湾,1987-01-17,2,0.244,70,242,221,54,9,32,1,15,2,63,3,6,0.297,0.425,0.722,3.94,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
加藤　脩平,Giants,250,外野手,2,178,79,O型,右,左,静岡,1999-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
山川　和大,Giants,250,投手,2,166,74,A型,右,左,兵庫,1995-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
笠井　駿,Giants,250,外野手,1,180,80,B型,右,右,東京,1995-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
ゲレーロ,Giants,4e4,外野手,2,182,99,不明,右,右,キューバ,1986-11-20,5,0.253,60,251,225,57,10,29,2,21,5,49,0,5,0.331,0.458,0.788,5.11,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
広畑　塁,Giants,250,捕手,1,177,72,O型,右,左,福岡,1995-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
坂本　工宜,Giants,280,投手,2,180,82,O型,右,右,滋賀,1994-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
坂本　勇人,Giants,35e3,内野手,12,186,83,AB型,右,右,兵庫,1988-12-14,6,0.327,83,380,330,108,13,56,8,50,0,66,0,4,0.416,0.512,0.928,8.08,7.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
長野　久義,Giants,19e3,外野手,9,180,85,O型,右,右,佐賀,1984-12-06,7,0.286,100,361,322,92,11,46,3,37,1,58,0,5,0.36,0.435,0.795,5.76,5.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
小山　翔平,Giants,250,捕手,1,170,70,O型,右,右,京都,1996-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
折下　光輝,Giants,250,内野手,1,177,86,A型,右,右,徳島,2000-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
亀井　善行,Giants,5200,外野手,14,178,82,AB型,右,左,奈良,1982-07-28,9,0.27,101,392,356,96,12,45,4,33,2,56,0,6,0.334,0.421,0.756,5.15,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
阿部　慎之助,Giants,21e3,内野手,18,180,97,A型,右,左,千葉,1979-03-20,10,0.261,73,162,142,37,8,35,0,17,1,39,1,6,0.342,0.458,0.799,5.02,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
高山　竜太朗,Giants,280,捕手,2,186,87,A型,右,右,鹿児島,1995-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
上原　浩治,Giants,2e4,投手,11,187,87,B型,右,右,大阪,1975-04-03,11,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,0,5,0,10,0,107,27,25,5,4,1,20,13,13,1.07,4.6,C
髙井　俊,Giants,240,投手,2,180,83,AB型,右,右,新潟,1995-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
成瀬　功亮,Giants,310,投手,8,182,90,A型,右,右,北海道,1992-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
脇谷　亮太,Giants,2e3,内野手,13,177,77,A型,右,左,大分,1981-11-04,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
堀岡　隼人,Giants,250,投手,2,183,87,O型,右,右,神奈川,1998-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
森福　允彦,Giants,12e3,投手,12,172,70,A型,左,左,愛知,1986-07-29,13,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,0,0,0,0,0,10,2,4,1,0,0,0,3,3,2,9.62,C
松澤　裕介,Giants,260,外野手,2,181,87,A型,左,左,愛知,1992-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
巽　大介,Giants,480,投手,3,183,86,AB型,左,左,鳥取,1997-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
澤村　拓一,Giants,15e3,投手,8,184,102,A型,右,右,栃木,1988-04-03,15,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,1,5,0,22,0.167,216,49,48,2,21,3,52,22,20,1.41,2.88,C
山上　信吾,Giants,250,投手,1,183,75,不明,右,右,群馬,1999-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
大竹　寛,Giants,5250,投手,17,184,94,B型,右,右,埼玉,1983-05-21,17,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,0,0,0.5,42,9,13,2,2,0,5,6,6,1.67,5.56,C
田島　洸成,Giants,260,内野手,3,176,80,A型,右,左,埼玉,1996-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
杉内　俊哉,Giants,2500,投手,17,175,82,A型,左,左,福岡,1980-10-30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
菅野　智之,Giants,45e3,投手,6,186,92,A型,右,右,神奈川,1989-10-11,19,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47,11,7,0,0,0.611,616,153,135,13,27,2,156,45,42,1.06,2.75,C
田中　優大,Giants,250,投手,1,183,75,B型,右,右,山形,1999-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
橋本　篤郎,Giants,280,投手,3,179,85,B型,左,左,熊本,1998-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
マシソン,Giants,35500,投手,7,191,104,不明,右,右,カナダ,1984-02-27,20,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,0,3,8,14,0,133,33.1,21,3,13,1,41,12,11,1.02,3,C
吉川　光夫,Giants,7e3,投手,12,178,76,O型,左,左,福岡,1988-04-06,21,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93,6,4,0,0,0.6,325,75.2,70,10,31,3,57,33,33,1.33,4.68,C
小林　誠司,Giants,5400,捕手,5,178,83,O型,右,右,大阪,1989-06-07,22,0.223,97,258,215,48,2,24,0,25,3,42,14,6,0.311,0.284,0.595,2.84,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
荒井　颯太,Giants,250,外野手,1,190,98,A型,右,右,新潟,1999-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
野上　亮磨,Giants,15e3,投手,10,177,74,A型,右,右,福岡,1987-06-15,23,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,4,4,0,1,0.5,260,62,64,14,19,2,46,36,36,1.34,5.59,C
田中　大輝,Giants,650,投手,4,182,80,O型,左,左,熊本,1992-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
岡本　和真,Giants,1200,内野手,4,185,96,A型,右,右,奈良,1996-06-30,25,0.304,117,500,444,135,24,75,2,53,3,100,0,9,0.382,0.514,0.896,7.13,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
内海　哲也,Giants,1e4,投手,15,186,95,A型,左,左,京都,1982-04-29,26,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99,5,3,0,0,0.625,303,72.1,74,8,15,3,48,24,24,1.23,3.94,C
宇佐見　真吾,Giants,1700,捕手,3,181,87,O型,右,左,千葉,1993-06-04,27,0.109,26,56,46,5,0,3,0,10,0,20,0,1,0.268,0.152,0.42,1.1,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
畠　世周,Giants,2400,投手,2,186,78,AB型,右,左,広島,1994-05-31,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
鍬原　拓也,Giants,1500,投手,1,177,76,A型,右,右,奈良,1996-03-26,29,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,1,2,0,0,0.333,123,27.2,23,6,17,3,35,22,21,1.45,5.47,C
宮國　椋丞,Giants,2400,投手,8,186,84,B型,右,右,沖縄,1992-04-17,30,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,0,0,0,3,0,124,29.2,25,4,9,3,23,8,7,1.15,4.54,C
橋本　到,Giants,2900,外野手,10,172,78,O型,右,左,宮城,1990-04-28,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
マギー,Giants,26600,内野手,3,185,100,不明,右,右,アメリカ,1982-10-12,33,0.29,106,430,397,115,17,66,0,29,1,73,0,7,0.337,0.476,0.813,5.76,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
西村　健太朗,Giants,8600,投手,15,184,94,A型,右,右,広島,1985-05-10,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
桜井　俊貴,Giants,1200,投手,3,181,86,AB型,右,右,兵庫,1993-10-21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
田原　誠次,Giants,3600,投手,7,180,80,A型,右,左,宮崎,1989-09-02,37,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56,2,0,0,1,1,125,31.2,27,4,8,0,19,9,9,1.11,4.23,C
岸田　行倫,Giants,1200,捕手,1,176,80,A型,右,右,兵庫,1996-10-10,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
ヤングマン,Giants,8300,投手,1,198,95,不明,右,右,アメリカ,1989-12-18,39,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77,3,1,0,0,0.75,107,26,25,2,9,0,25,9,8,1.31,3.12,C
谷岡　竜平,Giants,840,投手,2,181,85,A型,右,右,東京,1996-03-21,40,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,0,2,0.667,113,24,25,1,16,0,23,17,16,1.71,3.5,C
中川　皓太,Giants,1560,投手,3,183,86,A型,左,左,大阪,1994-02-24,41,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31,1,0,1,0,1,115,25.2,35,6,5,1,18,20,18,1.56,5.46,C
